id;vaziat;sale_mamooriat;shoroo_mamooriat;payan_mamooriat
1;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;98912;2021-01-09T17:49:02;2021-01-10T07:03:06
2;DAR_ENTEZAR_TAEED_RIASATSAZMAN;88128;2021-01-10T01:30:19;2021-01-10T01:26:59
3;DAR_ENTEZAR_TAEED_HEYAT_RAESE_AJA;44061;2021-01-09T17:33:56;2021-01-10T06:40:41
4;SARPARAST_TIME_HESABRESI;89194;2021-01-10T03:33:48;2021-01-10T05:15:27
5;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;6650;2021-01-09T23:51:34;2021-01-10T10:02:32
6;DAR_ENTEZAR_TAEED_HEYAT_RAESE_AJA;63382;2021-01-09T21:44:26;2021-01-10T04:39:46
7;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;96626;2021-01-10T00:22:01;2021-01-09T16:19:38
8;DAR_ENTEZAR_TAEED_RIASATSAZMAN;70776;2021-01-09T17:30:48;2021-01-09T18:33:14
9;DAR_ENTEZAR_TAEED_MOAVEN_HESABRESI;61578;2021-01-09T23:13:50;2021-01-09T18:54:52
10;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;87330;2021-01-09T16:18:22;2021-01-09T16:20:18
