id;tarikh;mozoo;shomare
1;2021-01-17T17:43:40;pixel;709
2;2021-01-17T12:51:26;Awesome Plastic Keyboard Coordinator;48233
3;2021-01-16T23:07:04;black white;44336
4;2021-01-17T16:36:52;haptic Specialist;66725
5;2021-01-17T07:13:16;innovative end-to-end networks;71385
6;2021-01-16T20:56:29;Refined National;38913
7;2021-01-16T23:30:38;Ball Home;67137
8;2021-01-17T00:16:45;e-markets Handcrafted Fresh Car South Dakota;62824
9;2021-01-17T05:05:36;Coordinator Vision-oriented;46832
10;2021-01-17T14:06:18;Auto Loan Account redundant International;33108
